XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
isocarboxazid	2.389	231.100776656	0	5	2.23	0	9	5	18	0	30	11	11	1.6444	2.70405136	63.4399
isoconazole	6.087	413.986023788	1	6	2.67	2	6	4	27	0	39	17	17	6.1551	37.88525601	102.7672
isoetharine	1.978	239.152143532	0	5	2.45	4	8	6	17	1	38	6	6	0.228200000000001	0.0520752400000004	65.5011
isoflurane	2.603	183.971433464	0	3	1.02	2	0	6	9	0	12	0	0	2.5341	6.42166281	23.0359
isoleucine	-1.6	131.094628656	0	3	1.79	5	3	6	8	1	22	0	0	-1.2501	1.56275001	32.1098
isometheptene	2.423	141.151749608	0	4	2.34	7	2	8	9	1	29	0	0	1.2066	1.45588356	45.7594
isoniazid	-0.823	137.058911844	0	2	1.68	0	10	4	10	0	17	6	6	-0.6974	0.48636676	36.6636
isopropamide	NA	343.442374305759	NA	8	3.66	4	6	8	27	NA	49	12	12	-0.265	0.0702250000000002	64.3155
isopropyl_alcohol	0.384	60.057514876	0	0	1.68	3	0	3	3	0	12	0	0	-0.4081	0.16654561	17.7599
isopropyl_myristate	7.636	270.255880328	2	14	3.11	14	3	17	18	0	53	0	0	-3.1208	9.73939264000001	63.9625
isopropyl_unoprostone	5.39	424.614815225881	2	17	3.66	10	3	10	30	0	74	0	0	4.8317	23.34532489	121.6169
isoproterenol	-0.11	556.230195720001	1	8	2.23	2	8	6	34	2	77	12	12	0.141200000000001	0.0199374400000003	129.3576
isosorbide	-1.86	146.0579088	0	0	1.68	0	0	0	11	0	20	0	0	-1.4072	1.98021184	31.3834
isosorbide_dinitrate	0.0439999999999998	236.028065216	0	4	1.02	0	4	3	17	0	24	0	0	0.898400000000001	0.807122560000001	36.7346
isotretinoin	7.851	448.261359632001	1	10	4.21	9	13	13	34	0	69	6	6	5.505	30.305025	137.6891
isoxsuprine	3.169	301.167793596001	0	7	3	3	7	7	23	1	45	12	12	2.4552	6.02800704	86.5334
isradipine	4.946	371.148120772001	0	6	2.67	0	11	5	29	0	48	10	9	1.3917	1.93682889	100.4142
itraconazole	6.709	704.239307056001	2	11	3.77	4	13	4	55	0	87	28	28	5.9601	35.52279201	186.2317
ivabradine	2.414	468.262422252001	0	10	3.66	3	8	5	37	1	70	12	12	3.0254	9.15304516000001	130.1798
ivacaftor	5.913	392.209992756001	1	5	3.55	3	21	3	31	0	57	17	16	5.6586	32.01975396	110.4909
ivermectin	5.109	1735.000064032	4	15	8.83	4	4	4	135	0	269	0	0	-2.2978	5.27988484	433.5452
ixabepilone	1.607	506.281443444001	0	2	3.55	3	7	3	37	0	77	5	5	1.14529999999999	1.31171208999999	133.6826
josamycin	2.951	827.466720508002	2	14	4.32	4	4	5	60	1	127	0	0	-0.798400000000002	0.637442560000003	207.9538
kanamycin	-5.486	484.238057972001	2	6	1.79	0	0	2	35	4	69	0	0	-7.4937	56.15553969	104.1807
kaolin	-1.225	263.94941222	0	6	0.03	0	11	9	10	0	23	0	0	0.00399999999999999	1.59999999999999e-05	9.8222
ketamine	2.882	237.092041812	0	2	2.56	0	6	2	17	1	32	6	6	1.3136	1.72554496	61.7967
ketanserin	2.532	395.164519784001	0	5	3.11	2	12	2	32	1	51	17	16	2.9839	8.90365920999999	96.5846
ketazolam	3.147	368.092770084	0	1	3	0	9	0	29	0	43	12	12	2.8397	8.06389608999999	99.7053
ketoconazole	4.082	530.148760736001	0	8	3.22	2	8	3	40	0	64	17	17	3.9926	15.94085476	137.8419
ketoprofen	3.217	254.094294308	0	4	2.89	3	14	4	20	0	33	12	12	3.1334	9.81819555999999	72.746
ketorolac	2.066	255.089543276	0	3	2.67	0	13	3	21	0	32	11	11	2.1976	4.82944576	68.3511
ketotifen	2.459	309.118735228001	0	0	3.22	0	15	0	25	1	41	11	11	3.6373	13.22995129	93.8962
labetalol	2.953	328.178692628001	0	8	3	4	10	7	25	1	48	12	12	1.1555	1.33518025	91.415
lacidipine	5.767	455.230787776001	2	11	3.55	3	11	6	34	0	66	6	6	3.5206	12.39462436	129.0012
lacosamide	0.505	250.131742436	0	8	2.34	3	6	7	18	0	36	6	6	0.228799999999999	0.0523494399999997	65.9675
lactate	2.4	356.209992756001	0	4	3.22	3	6	4	27	2	54	12	12	2.6672	7.11395583999999	103.939
lactitol	-5.004	344.131861588001	2	8	1.57	6	0	8	23	0	47	0	0	-4.6871	21.96890641	70.8169
lactose	-4.13	360.126776208001	2	4	1.46	0	0	2	24	0	48	0	0	-4.2603	18.15015609	68.3367
lactulose	-4.173	360.126776208001	2	5	1.46	0	0	2	24	0	48	0	0	-4.3105	18.58041025	68.7741
lamivudine	-1.094	229.052112212	0	2	1.57	0	8	2	16	0	26	6	6	0.4106	0.16859236	53.1588
lamotrigine	1.994	255.007850584	0	1	1.68	0	14	0	17	0	23	12	12	2.0963	4.39447369	67.6407
lanatoside_c	1.377	984.492994832002	3	12	4.65	0	5	3	77	0	145	0	0	-5.04600000000001	25.4621160000001	226.0288
lanreotide	3.976	1095.467029408	3	19	4.87	4	10	6	82	2	146	27	25	-1.2252	1.50111504	279.7643
lansoprazole	1.82	369.075882348	0	6	2.23	2	11	4	27	0	39	16	15	3.3007	10.89462049	79.8523
lanthanum_carbonate	-3.576	457.837760004149	0	0	0.58	0	4	3	9	0	14	0	0	-3.5799	12.81568401	14.8278
lapatinib	5.409	580.134732212001	2	11	3.44	2	23	6	44	1	66	28	27	6.3003	39.69378009	153.632
latanoprost	4.399	432.287574380001	1	14	3.77	7	6	10	32	0	71	6	6	-0.5224	0.27290176	115.7258
lecithin	-1.92	313.092653230001	1	12	1.46	3	5	13	19	2	40	0	0	-2.3862	5.69395044	64.2835
ledipasvir	8.024	888.413437888002	3	16	5.09	4	26	7	74	0	119	27	26	3.75090000000001	14.06925081	230.4474
leflunomide	2.794	270.061612188	0	4	2.01	0	14	3	20	0	28	11	11	2.8265	7.98910225	61.5004
lenalidomide	-0.437	259.095691276	0	1	2.23	0	10	0	21	0	32	6	6	-0.883300000000001	0.780218890000001	65.5796
lenvatinib	2.467	426.109482768001	0	8	2.78	0	25	3	33	0	49	17	16	2.0832	4.33972223999999	104.7307
lepirudin	-22.9750000000001	6979.44184754291	4	199	11.36	6	7	38	493	4	924	23	23	-32.6311	1064.78868721	1664.8624
lercanidipine	7.751	611.299536032001	2	14	4.43	3	11	9	48	1	86	18	18	5.94100000000001	35.2954810000001	172.121
letrozole	2.471	285.101445352	0	3	2.78	0	8	2	24	0	33	17	17	2.7494	7.55920036	84.219
leucine	-1.389	131.094628656	0	3	1.79	5	3	6	8	1	22	0	0	-0.318300000000001	0.101314890000001	33.4838
leucovorin	-2.46	473.165896076001	2	11	2.12	5	12	8	36	0	57	12	12	-1.2205	1.48962025	113.2174
leuprolide	1.054	1268.666591496	3	42	4.87	5	9	28	95	3	179	21	20	-4.5375	20.58890625	307.739
levalbuterol	1.116	576.271666608001	1	10	2.89	2	7	6	38	2	83	12	12	1.17499999999999	1.38062499999998	148.3618
levamisole	2.469	204.072119384	0	1	2.34	0	6	0	16	2	26	6	6	2.1789	4.74760521	59.5314
levetiracetam	-0.632	170.105527688	0	3	1.9	4	3	5	12	0	26	0	0	-1.905	3.629025	39.1891
levobunolol	2.09	291.183443660001	0	6	2.89	3	9	7	22	1	46	6	6	1.3478	1.81656484	81.7805
levobupivacaine	3.57	288.220163516001	0	6	3.11	4	9	4	22	1	49	6	6	0.6345	0.40259025	79.025
levocabastine	5.031	420.221306388001	1	4	3.77	0	6	3	34	1	60	12	12	2.6604	7.07772815999999	114.2558
levocarnitine	-1.741	161.10519334	0	4	1.79	4	2	7	10	2	26	0	0	-2.5189	6.34485721	37.2555
levocetirizine	2.805	388.155370340001	0	8	3.11	2	6	6	29	2	52	12	12	3.5901	12.88881801	106.7914
levodopa	-2.03	197.068807832	0	3	1.9	3	8	4	14	1	25	6	6	0.0549999999999999	0.00302499999999999	48.6149
levofloxacin	2.353	361.143784340001	0	2	2.56	0	16	3	29	1	46	11	10	2.2911	5.24913921	90.3638
levoleucovorin	-3.422	511.112836992001	1	11	2.01	5	12	8	36	0	56	12	12	NA	NA	NA
levomenthol	3.211	156.265578971965	0	1	2.45	3	0	3	11	0	31	0	0	2.7794	7.72506435999999	47.4447
levomethadone	4.592	309.445962320449	0	7	3.55	7	6	8	24	1	50	12	12	4.3197	18.65980809	97.3884
levomethadyl	5.375	353.235479232001	1	9	3.66	7	6	9	27	1	57	12	12	2.8914	8.36019395999999	106.1924
levomilnacipran	2.421	282.149891036001	0	6	2.67	0	6	5	19	1	42	6	6	0.651800000000002	0.424843240000002	72.1318
levonorgestrel	3.813	312.208930136001	0	1	3.55	0	4	2	26	0	51	0	0	0.615299999999998	0.378594089999998	89.2626
levorphanol	3.291	257.177964356	0	0	3.11	0	7	0	22	1	42	6	6	0.839199999999998	0.704256639999997	73.3409
levosimendan	1.944	280.107259004	0	3	2.23	3	18	5	22	0	33	6	6	1.2106	1.46555236	77.0606
levothyroxine	3.968	776.686699832	0	5	2.12	3	14	4	25	1	35	12	12	4.5776	20.95442176	122.5687
licorice	4.414	888.329275900324	3	7	4.21	0	4	3	64	0	121	0	0	2.4152	5.83319103999998	199.0548
lidocaine	2.099	234.173213324	0	6	2.67	2	9	6	17	1	39	6	6	2.5333	6.41760889	70.4392
linaclotide	-1.265	1525.389920548	3	14	3.33	3	7	6	106	1	180	12	12	-7.0001	49.00140001	350.2528
linagliptin	2.478	472.233522136001	0	4	3.11	4	12	4	39	1	63	21	19	2.5262	6.38168644	125.5926
lincomycin	0.69	406.213757808001	0	8	2.45	3	3	6	28	1	61	0	0	-2.1177	4.48465329	99.4192
lindane	3.834	287.860066272	0	0	1.46	0	0	0	12	0	18	0	0	4.1634	17.33389956	54.081
linezolid	1.006	337.143784340001	0	5	2.34	0	11	4	26	0	44	6	6	0.998200000000001	0.996403240000002	83.6748
linoleate	7.384	302.222174512001	2	14	3.11	18	2	19	19	1	52	0	0	NA	NA	NA
liothyronine	2.9	650.974069415043	1	5	2.23	3	14	4	24	1	35	12	12	3.9827	15.86189929	110.3502
lipegfilgrastim	-8.178	730.670650341224	4	22	1.9	4	4	10	51	1	96	0	0	-5.9631	35.55856161	155.941
liraglutide	-5.38400000000001	3751.20876322001	4	164	10.04	16	9	95	271	7	531	33	32	-3.1408	9.86462463999998	944.21
lisdexamfetamine	1.335	263.19976242	0	9	2.67	6	6	10	19	2	44	6	6	-1.4066	1.97852356	72.4146
lisinopril	-0.925	405.226371092001	1	13	2.89	6	6	10	30	2	60	6	6	-2.7242	7.42126564	96.7271
lisuride	2.552	338.210661452001	0	5	3.11	0	11	5	28	1	51	10	9	2.1231	4.50755361	100.288
lithium_acetate	2.832	361.096008542	0	6	2.78	2	19	3	27	1	42	17	17	NA	NA	NA
lithium_aspartate	-4.188	139.034948652216	0	3	1.24	4	3	6	8	2	16	0	0	-1.9229	3.69754441	24.33
lithium_carbonate	-1.192	74.01675296	0	0	1.02	0	3	3	3	2	6	0	0	NA	NA	NA
lithium_chloride	0.512	42.3929752029795	0	0	1.24	0	0	0	0	1	2	0	0	-2.6737	7.14867169	0
lithium_citrate	-5.558	282.093799886	1	5	0.58	5	2	7	12	3	33	0	0	NA	NA	NA
lithium	0	8.023829582	0	0	1.35	0	0	0	0	0	2	0	0	0	0	0
lithium_succinate	-1.672	130.042967708	0	3	1.24	4	3	6	7	2	14	0	0	NA	NA	NA
lithium_sulfate	-1.764	109.943779952907	0	0	0.69	0	4	3	4	2	7	0	0	-2.0134	4.05377956	8.6416
lixisenatide	-19.4960000000001	4858.49996030129	4	213	11.14	6	9	91	349	12	689	27	26	-17.6434	311.28956356	1214.7429
lobeline	3.982	337.456103144807	0	6	3.55	2	8	3	27	1	52	12	12	3.934	15.476356	101.5113
lodoxamide	-0.341	310.994512592	0	6	1.57	2	20	4	21	0	27	6	6	0.5767	0.33258289	64.6045
lofepramine	6.013	418.181191164001	1	7	3.88	3	13	7	33	1	57	18	18	5.5524	30.82914576	123.6618
lofexidine	3.139	259.132070408587	0	3	2.12	2	7	3	17	2	28	6	6	2.8722	8.24953284	64.4875
lomefloxacin	2.993	351.139447908	0	3	2.45	0	15	3	27	1	44	11	10	2.4089	5.80279921	85.0851
lomitapide	10.088	693.278996744001	2	14	4.54	4	15	6	55	1	87	24	24	5.5593	30.90581649	173.0718
lomustine	2.378	233.093104432	0	6	1.79	2	6	6	15	0	31	0	0	-0.9531	0.908399610000001	49.0956
loperamide	5.465	476.223055976001	1	8	4.1	4	6	6	37	1	67	18	18	3.9968	15.97441024	135.1536
lopinavir	4.84	628.362470636001	1	17	4.54	6	7	13	49	0	94	18	18	3.4367	11.81090689	172.7409
loracarbef	-2.16	367.093498356	0	5	2.23	2	8	4	26	1	43	6	6	-0.592399999999999	0.350937759999999	83.6909
loratadine	3.817	382.144805656001	0	3	3.33	2	14	5	30	0	50	12	12	4.111	16.900321	107.1937
lorazepam	3.895	320.01193292	0	1	2.45	0	17	0	23	0	31	12	12	3.8674	14.95678276	79.9682
lorcaserin	2.453	195.081477128	0	0	2.45	0	6	0	14	1	27	6	6	2.1746	4.72888516	55.6525
lormetazepam	3.608	334.027582984	0	1	2.56	0	17	0	24	0	34	12	12	3.8423	14.76326929	85.74
lornoxicam	2.228	370.98012548	0	3	1.79	0	21	3	25	0	33	11	11	0.601700000000001	0.362042890000001	85.8102
losartan	6.024	422.162187036001	1	8	3	4	17	4	33	0	53	22	22	2.6126	6.82567876	120.0705
loteprednol	2.092	394.889816401875	0	3	3.11	0	6	5	30	0	54	0	0	2.3543	5.54272848999999	102.7977
loteprednol_etabonate	3.426	466.175831012001	0	7	3.22	0	6	5	35	0	63	0	0	1.789	3.20052099999999	116.4197
lovastatin	4.574	404.256274252001	0	7	3.55	4	4	5	31	0	65	0	0	-0.0992000000000004	0.00984064000000008	105.6455
loxapine	3.754	327.113839876	0	1	2.89	0	16	0	26	3	41	12	12	3.6519	13.33637361	91.3645
loxoprofen	1.73	246.125594436	0	4	2.78	3	6	4	19	0	36	6	6	1.4885	2.21563225	67.3444
lubiprostone	4.312	390.221780564001	1	11	2.89	7	3	8	28	0	59	0	0	-2.7795	7.72562025000003	80.7334
lucinactant	13.4710000000001	2469.40381419534	5	113	10.04	6	3	71	173	6	412	0	0	11.7246	137.46624516	673.3506
lufenuron	7.628	511.15075838915	2	9	1.68	3	19	5	33	0	40	12	12	6.5384	42.75067456	94.3467
luliconazole	3.935	352.961494648	0	2	2.23	2	9	3	23	0	30	11	11	4.0312	16.25057344	91.0023
lumefantrine	10.143	527.154947684001	1	10	4.21	4	20	9	38	1	67	18	18	5.3085	28.18017225	145.3624
lurasidone	5.196	492.255897392001	1	5	3.77	0	10	0	41	1	71	10	9	0.505999999999999	0.256035999999999	133.6881
lutein	10.541	812.424007504002	2	20	5.64	18	20	18	57	2	120	0	0	NA	NA	NA
luteinizing_hormone	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
lutetium	0	174.96672138555	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
lycopene	14.586	536.438201792002	2	16	5.86	32	22	32	39	0	96	0	0	11.5726	133.92507076	198.0364
lymecycline	-1.895	602.258793416001	2	11	3.11	6	12	12	46	3	81	6	6	-3.7918	14.37774724	146.5332
lynestrenol	5.336	284.214015516001	1	0	3.55	0	2	2	24	0	49	0	0	1.2537	1.57176369	81.9575
lysine	-2.949	146.105527688	0	5	1.68	6	3	8	9	2	24	0	0	-2.7491	7.55755081	32.4333
macitentan	4.147	585.963348320001	1	11	2.12	3	18	6	34	0	52	18	18	1.8536	3.43583296	122.7838
magaldrate	-18.472	1126.874438486	1	0	-4.81	0	4	3	8	0	105	0	0	NA	NA	NA
magnesium_ascorbate	-0.356000000000001	374.537912058273	2	4	1.35	2	7	4	24	0	39	0	0	-4.8742	23.75782564	68.3614
magnesium_aspartate	-6.21	288.494873667264	0	6	1.13	4	3	6	16	2	31	0	0	-3.8458	14.79017764	48.66
magnesium_carbonate	-1.192	83.96978556	0	0	1.13	0	3	3	3	0	5	0	0	NA	NA	NA
magnesium_chloride	-1.778	201.986135164	1	0	0.47	0	0	0	0	0	21	0	0	NA	NA	NA
magnesium_citrate	-7.38	449.9621801	1	10	0.91	5	2	7	24	0	39	0	0	NA	NA	NA
magnesium	0	26.000691764	0	0	1.35	0	0	0	0	0	3	0	0	0	0	0
magnesium_gluconate	-9.374	450.107126452001	2	10	0.91	6	2	8	24	0	55	0	0	NA	NA	NA
magnesium_glutamate	-5.794	415.063107486	1	8	1.35	5	9	7	25	1	45	6	6	NA	NA	NA
magnesium_glycinate	-5.496	172.422547354531	0	2	1.13	2	3	4	8	2	19	0	0	-3.3118	10.96801924	27.7516
magnesium_hydroxide	-0.934	57.990521004	0	0	1.13	0	0	0	0	0	5	0	0	NA	NA	NA
magnesium_lactate	-2.144	202.03277974	0	2	1.35	3	2	4	10	0	23	0	0	NA	NA	NA
magnesium_malate	-2.436	156.376782852725	0	3	1.24	4	3	6	8	0	14	0	0	-2.3111	5.34118321	20.3947
magnesium_orotate	-3.456	334.482107351957	1	2	1.13	0	11	3	22	0	29	0	0	-3.71	13.7641	62.1438
magnesium_oxide	-0.399	39.97995632	0	0	1.24	0	1	2	1	0	2	0	0	-0.0233	0.00054289	1.4429
magnesium_phosphate	-6.829	351.91478874	1	0	-0.52	0	4	3	8	0	28	0	0	NA	NA	NA
magnesium_salicylate	-0.368	370.075038476	1	2	1.79	0	10	3	20	0	43	12	12	NA	NA	NA
magnesium_salt	-2.93	295.978374818	0	4	0.8	2	11	4	16	0	27	0	0	NA	NA	NA
magnesium_silicate	0	108.452177180671	0	0	0.91	0	0	0	0	0	13	0	0	0	0	0
magnesium_sulfate	-5.033	246.010723968	2	0	0.03	0	4	3	4	0	27	0	0	NA	NA	NA
magnesium_sulfate_heptahydrate	-5.033	246.475761362285	2	0	0.03	0	4	3	4	0	27	0	0	-2.0134	4.05377956	8.6416
magnesium_trisilicate	-0.698	259.86017995	0	4	0.03	0	4	7	10	0	13	0	0	NA	NA	NA
malate	0.93	321.121237328001	0	5	2.45	4	10	6	23	0	42	11	10	1.2686	1.60934596	83.5791
malathion	2.007	330.036066958001	1	11	1.57	4	4	10	18	0	38	0	0	1.9641	3.85768881	77.2727
malic_acid	-1.474	134.087612747954	0	3	1.35	4	3	6	8	0	15	0	0	-0.9555	0.91298025	24.9503
maltose	-3.663	342.116211524001	2	4	1.57	0	0	2	24	0	45	0	0	-4.2603	18.15015609	68.3367
manganese_chloride	-0.844	197.905065997252	0	0	0.69	0	0	0	0	0	15	0	0	-5.3474	28.59468676	0
manganese	0.557	142.886315144	0	0	1.02	0	0	0	0	0	6	0	0	NA	NA	NA
manganese_sulfate	-1.764	151.001749803316	0	0	0.8	0	4	3	4	0	6	0	0	-2.0134	4.05377956	8.6416
manidipine	6.086	610.279134936001	2	12	4.21	2	11	5	49	2	83	18	18	5.7549	33.11887401	169.8504
mannitol	-3.896	182.079038168	1	5	1.46	6	0	8	11	0	26	0	0	-2.9402	8.64477604	38.4036
maprotiline	5.059	277.183049736001	1	4	3.55	3	6	5	24	1	44	12	12	2.322	5.391684	87.4757
maraviroc	6.821	513.327917372001	1	9	3.77	3	6	6	41	1	78	11	11	0.248199999999998	0.0616032399999992	128.7874
mazindol	3.774	284.071640716	0	1	2.78	0	9	0	23	2	33	12	12	2.8758	8.27022564	78.7622
mebendazole	3.217	295.095691276	0	5	2.56	0	21	4	24	0	35	16	15	3.1586	9.97675396	78.9231
mebeverine	4.755	429.251523220001	1	14	3.55	4	11	10	32	1	66	12	12	3.476	12.082576	119.4461
mebrofenin	1.041	387.225871797279	0	8	2.23	2	9	7	23	1	42	6	6	2.7159	7.37611281	87.9354
mecamylamine	2.657	167.291553902045	0	1	2.56	0	0	2	13	1	33	0	0	2.1838	4.76898243999999	51.8317
mechlorethamine	0.912	171.021769332	0	4	1.57	2	1	7	8	1	20	0	0	1.2454	1.55102116	37.7217
meclizine	5.76	390.186276544001	1	5	3.88	0	6	0	31	2	55	18	18	6.3346	40.12715716	119.3171
meclocycline	0.898	476.098643312	1	2	2.67	0	14	3	36	1	54	6	6	-0.438000000000002	0.191844000000001	115.1487
meclofenamate	3.371	335.009192884	0	3	2.23	0	16	3	20	1	33	12	12	NA	NA	NA
meclofenoxate	2.115	257.713738390597	0	7	2.23	2	7	8	17	1	33	6	6	2.5372	6.43738384000001	66.349
mecobalamin	-5.10499999999999	1344.38473740323	4	27	5.2	3	13	9	97	0	183	10	9	-0.812099999999996	0.659506409999993	327.4957
mecysteine	-0.0880000000000001	135.035399528	0	3	1.46	3	3	6	7	1	17	0	0	-0.3732	0.13927824	32.9371
medazepam	4.525	270.09237616	0	1	2.89	0	15	0	21	0	34	12	12	4.0431	16.34665761	80.5898
medigoxin	2.264	794.445256792002	1	8	4.54	0	5	2	63	0	122	0	0	-3.2697	10.69093809	189.2152
medrogestone	5.301	340.240230264001	1	1	3.77	0	6	3	28	0	57	0	0	2.0089	4.03567920999999	102.8759
medroxyprogesterone	4.279	386.245709568001	0	3	3.66	0	4	3	31	0	62	0	0	0.573599999999998	0.329016959999997	106.3888
medrysone	3.245	344.488508634469	0	1	3.55	2	4	3	28	0	57	0	0	2.6628	7.09050383999999	98.9209
mefenamate	3.941	241.11027872	0	3	2.78	0	16	3	19	0	33	12	12	4.221	17.816841	71.7326
mefloquine	3.871	378.116682452	0	4	2.34	0	10	3	28	1	42	11	10	2.3849	5.68774801	78.3854
mefruside	0.961	382.042391388001	0	5	1.79	0	14	4	24	0	42	6	6	0.7046	0.49646116	81.524
megestrol	4.049	384.230059504001	0	3	3.66	0	6	3	31	0	60	0	0	1.56379999999999	2.44547043999998	108.3588
meglumine_antimoniate	-4.371	365.979813606541	1	6	1.13	6	4	9	15	1	35	0	0	-3.3049	10.92236401	50.2861
meglumine	-3.573	195.110672644	1	6	1.57	6	0	9	12	1	30	0	0	-2.798	7.828804	44.8357
melatonin	1.601	232.121177752	0	5	2.45	2	10	5	18	0	33	10	9	1.5936	2.53956096	65.1767
melitracen	5.892	291.430675885228	1	3	3.66	3	14	5	24	1	47	12	12	4.7738	22.78916644	96.7538
meloxicam	1.715	351.034747896	0	3	2.01	0	21	3	25	0	36	11	11	0.8454	0.71470116	86.5351
melphalan	0.36	304.074533176001	0	8	2.23	3	7	7	19	1	37	6	6	2.2098	4.88321604	78.2668
memantine	3.524	179.167399672	0	0	2.67	0	0	0	15	1	34	0	0	1.0069	1.01384761	54.0579
menadiol	2.702	174.196312258065	0	0	2.45	0	12	0	14	0	23	11	10	2.6898	7.23502404	50.9376
menatetrenone	8.71	444.302830520001	2	11	4.65	16	12	16	34	0	73	6	6	7.5826	57.49582276	146.006
menthol	3.211	156.15141526	0	1	2.45	0	0	3	11	0	31	0	0	0.656299999999999	0.430729689999998	44.9238
mepenzolate	2.951	340.191268692001	0	5	3.33	2	6	4	27	2	51	12	12	0.6696	0.44836416	92.3924
meperidine	2.63	247.157228912	0	4	2.78	0	6	5	19	1	39	6	6	2.2159	4.91021281000001	71.4225
mephenesin	0.782	182.094294308	0	4	2.23	3	7	5	13	0	27	6	6	1.3771	1.89640441	49.7421
mephenytoin	1.7	218.105527688	0	2	2.34	0	6	2	17	0	30	6	6	0.503699999999999	0.253713689999999	57.2912
mephobarbital	1.459	246.100442308	0	2	2.34	0	8	2	19	0	32	6	6	0.838899999999999	0.703753209999999	64.0904
mepindolol	2.151	262.347951305198	0	6	2.67	3	10	7	20	1	41	10	9	2.071	4.289041	76.3018
mepivacaine	2.22	246.173213324	0	3	2.78	0	9	3	19	1	40	6	6	1.2499	1.56225000999999	68.2876
meprednisone	0.905	372.193673996001	0	2	3.33	2	6	4	30	0	55	0	0	-1.0642	1.13252164	100.8087
meprobamate	0.704	218.126657056	0	8	1.79	5	4	9	14	0	33	0	0	-0.0468999999999993	0.00219960999999993	48.8083
meptazinol	3.029	233.177964356	0	2	2.89	0	7	2	18	1	40	6	6	1.0964	1.20209296	68.8948
mequinol	1.531	124.137487163261	0	1	2.01	0	8	2	9	0	17	6	6	1.5462	2.39073444	34.2153
mequitazine	4.801	322.150369704001	0	2	3.33	0	13	0	27	1	45	12	12	4.6109	21.26039881	97.8677
mercaptopurine	0.219	152.015667128	0	0	1.46	0	9	0	11	0	14	10	9	0.7953	0.63250209	41.7341
mercury	0	200.5991666178	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
meropenem	-0.779	383.151491900001	0	6	2.34	0	8	4	28	1	51	0	0	-2.5654	6.58127716	95.3237
mesalamine	0.843	153.042593084	0	1	1.79	0	11	3	11	0	18	6	6	0.5571	0.31036041	39.6336
mesna	-0.23	163.9577803	0	2	1.02	2	3	5	6	1	13	0	0	NA	NA	NA
mesoridazine	4.463	544.152420504001	0	5	3.44	2	15	3	39	1	68	18	18	3.5947	12.92186809	133.3807
mestranol	4.574	310.193280072001	0	1	3.55	0	7	2	26	0	49	6	6	2.6938	7.25655843999998	89.7653
metaproterenol	0.999	211.120843404	0	4	2.23	2	8	6	15	1	32	6	6	0.3995	0.15960025	58.0802
metaraminol	0.592	167.094628656	0	2	2.12	3	7	4	12	1	25	6	6	0.2745	0.0753502499999999	46.6973
metaxalone	2.309	221.10519334	0	3	2.34	0	7	2	17	0	31	6	6	2.6999	7.28946001	58.4469
metformin	0.558	129.101445352	0	3	1.35	0	7	6	8	5	20	0	0	-0.223100000000001	0.0497736100000003	31.2928
methacholine	0.363	160.133753816	0	4	2.01	3	3	7	10	2	29	0	0	-1.2057	1.45371249	42.815
methadone	4.592	309.209264484001	0	7	3.55	7	6	8	24	1	50	12	12	3.082	9.49872399999999	98.062
methadyl_acetate	5.375	353.498602056898	1	9	3.66	7	6	9	27	1	57	12	12	4.7383	22.45148689	107.3618
methamphetamine	2.152	149.12044948	0	3	2.45	3	6	4	11	1	26	6	6	1.4194	2.01469636	48.7558
methandrostenolone	4.52	300.208930136001	0	0	3.44	0	6	0	25	0	50	0	0	1.274	1.62307599999999	88.9448
methanol	2.477	158.07316494	0	1	2.56	0	10	2	13	0	22	11	10	2.1339	4.55352921	49.3241
methantheline	3.404	340.191268692001	0	7	3.33	2	13	8	27	2	51	12	12	2.3572	5.55639184000001	96.3173
methaqualone	2.867	250.110613068	0	1	2.89	0	17	0	21	0	33	17	16	3.847	14.799409	70.6904
methazolamide	-0.982	236.003782116	0	2	1.02	0	11	3	14	0	22	5	5	-0.7662	0.587062440000001	46.9996
methdilazine	NA	288.368026595203	NA	2	3.11	0	13	0	24	NA	33	12	12	1.6727	2.79792529	56.8919
methenamine	-0.186	140.106196384	0	0	1.68	0	0	0	12	4	22	0	0	0.0858000000000004	0.00736164000000006	36.9954
methenolone	7.517	414.313395204001	1	7	4.1	7	4	8	33	0	72	0	0	0.0314999999999974	0.000992249999999837	110.7854
methimazole	1.253	114.025169192	0	0	1.57	0	6	0	7	0	13	5	5	1.4177	2.00987329	30.0569
methionine	-1.853	149.051049592	0	4	1.57	4	3	7	8	1	20	0	0	-0.7303	0.53333809	35.8782
methocarbamol	0.0649999999999999	241.09502258	0	7	2.01	3	8	7	17	0	32	6	6	1.3782	1.89943524	57.3172
methohexital	1.779	262.131742436	0	3	2.45	6	8	6	19	0	37	0	0	1.189	1.413721	71.2639
methotrexate	-2.668	454.171315804001	1	10	2.23	5	12	8	35	0	55	17	16	-0.0464000000000026	0.00215296000000024	114.764
methotrimeprazine	4.513	328.160934388001	0	5	3.11	3	14	5	25	1	47	12	12	4.6397	21.52681609	98.7842
